@relation Income-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1234-Z10.0-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.Resample-S1-Z20.0

@attribute age numeric
@attribute workclass=Private numeric
@attribute workclass=Self-emp-not-inc numeric
@attribute workclass=Self-emp-inc numeric
@attribute workclass=Federal-gov numeric
@attribute workclass=Local-gov numeric
@attribute workclass=State-gov numeric
@attribute workclass=Without-pay numeric
@attribute workclass=Never-worked numeric
@attribute fnlwgt numeric
@attribute education=Bachelors numeric
@attribute education=Some-college numeric
@attribute education=11th numeric
@attribute education=HS-grad numeric
@attribute education=Prof-school numeric
@attribute education=Assoc-acdm numeric
@attribute education=Assoc-voc numeric
@attribute education=9th numeric
@attribute education=7th-8th numeric
@attribute education=12th numeric
@attribute education=Masters numeric
@attribute education=1st-4th numeric
@attribute education=10th numeric
@attribute education=Doctorate numeric
@attribute education=5th-6th numeric
@attribute education=Preschool numeric
@attribute education-num numeric
@attribute marital-status=Married-civ-spouse numeric
@attribute marital-status=Divorced numeric
@attribute marital-status=Never-married numeric
@attribute marital-status=Separated numeric
@attribute marital-status=Widowed numeric
@attribute marital-status=Married-spouse-absent numeric
@attribute marital-status=Married-AF-spouse numeric
@attribute occupation=Tech-support numeric
@attribute occupation=Craft-repair numeric
@attribute occupation=Other-service numeric
@attribute occupation=Sales numeric
@attribute occupation=Exec-managerial numeric
@attribute occupation=Prof-specialty numeric
@attribute occupation=Handlers-cleaners numeric
@attribute occupation=Machine-op-inspct numeric
@attribute occupation=Adm-clerical numeric
@attribute occupation=Farming-fishing numeric
@attribute occupation=Transport-moving numeric
@attribute occupation=Priv-house-serv numeric
@attribute occupation=Protective-serv numeric
@attribute occupation=Armed-Forces numeric
@attribute relationship=Wife numeric
@attribute relationship=Own-child numeric
@attribute relationship=Husband numeric
@attribute relationship=Not-in-family numeric
@attribute relationship=Other-relative numeric
@attribute relationship=Unmarried numeric
@attribute race=White numeric
@attribute race=Asian-Pac-Islander numeric
@attribute race=Amer-Indian-Eskimo numeric
@attribute race=Other numeric
@attribute race=Black numeric
@attribute sex=Male numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country=United-States numeric
@attribute native-country=Cambodia numeric
@attribute native-country=England numeric
@attribute native-country=Puerto-Rico numeric
@attribute native-country=Canada numeric
@attribute native-country=Germany numeric
@attribute native-country=Outlying-US(Guam-USVI-etc) numeric
@attribute native-country=India numeric
@attribute native-country=Japan numeric
@attribute native-country=Greece numeric
@attribute native-country=South numeric
@attribute native-country=China numeric
@attribute native-country=Cuba numeric
@attribute native-country=Iran numeric
@attribute native-country=Honduras numeric
@attribute native-country=Philippines numeric
@attribute native-country=Italy numeric
@attribute native-country=Poland numeric
@attribute native-country=Jamaica numeric
@attribute native-country=Vietnam numeric
@attribute native-country=Mexico numeric
@attribute native-country=Portugal numeric
@attribute native-country=Ireland numeric
@attribute native-country=France numeric
@attribute native-country=Dominican-Republic numeric
@attribute native-country=Laos numeric
@attribute native-country=Ecuador numeric
@attribute native-country=Taiwan numeric
@attribute native-country=Haiti numeric
@attribute native-country=Columbia numeric
@attribute native-country=Hungary numeric
@attribute native-country=Guatemala numeric
@attribute native-country=Nicaragua numeric
@attribute native-country=Scotland numeric
@attribute native-country=Thailand numeric
@attribute native-country=Yugoslavia numeric
@attribute native-country=El-Salvador numeric
@attribute native-country=Trinadad&Tobago numeric
@attribute native-country=Peru numeric
@attribute native-country=Hong numeric
@attribute native-country=Holand-Netherlands numeric
@attribute income {<=50k,>50k}

@data
0.534247,1,0,0,0,0,0,0,0,0.276287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.533333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.346939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>50k
0.287671,1,0,0,0,0,0,0,0,0.183257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.533333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.397959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0.246575,1,0,0,0,0,0,0,0,0.155593,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.533333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.150242,0,0.806122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>50k
0.493151,1,0,0,0,0,0,0,0,0.127219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.295918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0.123288,1,0,0,0,0,0,0,0,0.333347,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.193878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0.123288,1,0,0,0,0,0,0,0,0.143772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.866667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.193878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0.479452,0,0,0,0,1,0,0,0,0.115548,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.397959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0,1,0,0,0,0,0,0,0,0.207236,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.466667,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.193878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
0.178082,1,0,0,0,0,0,0,0,0.051357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.397959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>50k
0.041096,1,0,0,0,0,0,0,0,0.261564,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.193878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=50k
