@relation 'Adult-weka.filters.unsupervised.attribute.ReplaceMissingValues_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.2-A5-M-1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 0.425relationship=Husband+0.425marital-status=Married-civ-spouse-0.325marital-status=Never-married+0.271sex=Male+0.232age... numeric
@attribute 0.461education-num+0.242native-country=United-States-0.228native-country=Mexico+0.227education=Bachelors+0.224occupation=Prof-specialty... numeric
@attribute -0.424race=Asian-Pac-Islander+0.422native-country=United-States+0.385race=White-0.23native-country=Philippines-0.166native-country=India... numeric
@attribute -0.353age-0.336relationship=Unmarried-0.335marital-status=Divorced+0.332marital-status=Never-married+0.317relationship=Own-child... numeric
@attribute '0.441race=White-0.428race=Black-0.291native-country=United-States+0.29 native-country=Mexico+0.232relationship=Not-in-family...' numeric
@attribute -0.571workclass=Private+0.333workclass=Self-emp-not-inc+0.311workclass=Local-gov+0.254occupation=Farming-fishing+0.229occupation=Protective-serv... numeric
@attribute '-0.388relationship=Wife+0.362relationship=Not-in-family+0.267hours-per-week-0.244occupation=Prof-specialty+0.24 race=Asian-Pac-Islander...' numeric
@attribute -0.355race=Black+0.275race=Asian-Pac-Islander+0.273relationship=Wife+0.254occupation=Adm-clerical-0.228fnlwgt... numeric
@attribute 0.409occupation=Prof-specialty-0.32education=Some-college-0.275occupation=Exec-managerial-0.236occupation=Adm-clerical+0.209education=Prof-school... numeric
@attribute '-0.333occupation=Sales+0.312occupation=Protective-serv+0.3  workclass=Local-gov-0.275workclass=Self-emp-inc-0.273workclass=Self-emp-not-inc...' numeric
@attribute income {<=50K,>50K}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
-0.54601,3.039863,-0.1833,0.413927,0.59587,1.739399,0.740449,0.316044,-0.719533,1.326848,<=50K,cluster5
3.05382,1.202473,-0.08515,0.168795,0.162082,1.072991,0.197299,0.940213,-0.456494,-1.73726,<=50K,cluster0
-1.177588,-0.377988,1.19361,-1.062298,0.672729,-0.70947,2.012946,-1.011677,0.526667,1.381428,<=50K,cluster4
0.245985,-2.536595,-0.373054,-0.059659,-3.093781,-0.074634,-1.072992,-2.312247,0.679303,-0.964053,<=50K,cluster2
-0.336004,0.113156,-4.551153,0.380994,0.469991,-1.369032,-4.139437,-1.010134,-1.504202,-0.858367,<=50K,cluster4
1.169034,1.953394,-0.608453,0.003606,0.589025,-1.753712,-2.835066,0.799969,-0.518051,-0.138326,<=50K,cluster2
-4.041838,-3.357835,-5.046556,-2.286486,-1.270935,0.80297,-1.287083,-4.422425,-1.396149,-2.442996,<=50K,cluster1
3.025283,-0.527138,0.549489,-0.977288,-0.335528,1.371324,1.144962,0.838968,-0.217672,-0.919809,>50K,cluster0
-0.779462,3.178884,-0.311133,0.932831,1.651428,-0.383739,-0.043881,-1.330767,1.96533,0.29475,>50K,cluster5
2.505077,0.836391,0.115779,0.983821,0.23656,-1.451236,-0.095274,-0.617132,-1.1609,-0.762528,>50K,cluster2
1.58322,-0.541887,-0.999168,-0.002629,-2.86766,-0.621144,0.152056,-2.186662,-2.608278,-1.373093,>50K,cluster2
2.165599,0.603104,-8.542514,3.541995,-1.198353,0.558642,1.394897,1.441916,2.397815,1.48991,>50K,cluster3
-2.342056,1.934839,0.688958,2.000754,0.06662,-0.40036,-0.767399,1.116041,-0.785226,0.147206,<=50K,cluster5
