@relation 'CarEvaluation-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-9-S1-seed1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute eval {unacc,acc,good,vgood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0.985325,0.724043,0.028509,0.090382,0.157737,0.967956,0.709853,0.998192,0.932269,0.900281,0.994312,0.063496,0.031438,0.014589,0.990776,unacc,cluster0
0.985325,0.985021,0.028507,0.09038,0.157735,0.967953,0.709821,0.998193,0.932268,0.900283,0.994311,0.063497,0.031441,0.01459,0.022984,unacc,cluster0
0.985327,0.009385,0.028508,0.090381,0.157746,0.96796,0.709851,0.998192,0.932272,0.90029,0.994311,0.063503,0.031438,0.014588,0.183937,unacc,cluster0
0.985324,0.724022,0.028514,0.09038,0.157755,0.967954,0.990134,0.998192,0.932275,0.900286,0.994312,0.063492,0.031442,0.982148,0.990775,unacc,cluster0
0.985324,0.98502,0.028511,0.090378,0.157754,0.967952,0.990133,0.998192,0.932274,0.900288,0.994312,0.063492,0.031446,0.982148,0.022981,unacc,cluster0
0.985325,0.009384,0.028513,0.090379,0.157764,0.967958,0.990134,0.998192,0.932278,0.900296,0.994311,0.063498,0.031442,0.982147,0.183919,unacc,cluster0
0.985325,0.724012,0.02851,0.090379,0.157748,0.967957,0.012493,0.998193,0.932272,0.900288,0.994312,0.063494,0.031439,0.876487,0.990777,unacc,cluster0
0.985325,0.985019,0.028508,0.090377,0.157747,0.967954,0.012491,0.998193,0.932271,0.90029,0.994311,0.063494,0.031443,0.876488,0.022986,unacc,cluster0
0.985326,0.009384,0.028509,0.090378,0.157757,0.967961,0.012493,0.998193,0.932275,0.900297,0.994311,0.063501,0.031439,0.876478,0.18395,unacc,cluster0
0.675919,0.724018,0.028504,0.090389,0.157703,0.007842,0.709842,0.998193,0.932273,0.900279,0.994312,0.063498,0.031438,0.01459,0.990776,unacc,cluster0
0.675915,0.98502,0.028502,0.090388,0.157701,0.007841,0.709809,0.998193,0.932272,0.900282,0.994311,0.063498,0.031442,0.01459,0.022983,unacc,cluster0
0.675937,0.009384,0.028504,0.090389,0.157712,0.007843,0.70984,0.998193,0.932277,0.900289,0.994311,0.063504,0.031438,0.014588,0.183935,unacc,cluster0
0.675899,0.723997,0.028509,0.090387,0.157721,0.007841,0.990134,0.998192,0.93228,0.900285,0.994312,0.063493,0.031443,0.982149,0.990775,unacc,cluster0
0.675895,0.985018,0.028507,0.090386,0.157719,0.007841,0.990132,0.998193,0.932278,0.900287,0.994311,0.063493,0.031446,0.982149,0.022981,unacc,cluster0
0.675917,0.009383,0.028508,0.090387,0.15773,0.007843,0.990134,0.998192,0.932283,0.900294,0.994311,0.0635,0.031443,0.982147,0.183917,unacc,cluster0
0.675911,0.723987,0.028505,0.090386,0.157714,0.007842,0.012492,0.998193,0.932277,0.900286,0.994312,0.063495,0.03144,0.876488,0.990777,unacc,cluster0
0.675907,0.985017,0.028503,0.090385,0.157713,0.007842,0.01249,0.998193,0.932276,0.900289,0.994311,0.063496,0.031443,0.876489,0.022985,unacc,cluster0
0.675929,0.009383,0.028505,0.090386,0.157723,0.007843,0.012492,0.998193,0.93228,0.900296,0.994311,0.063502,0.031439,0.876479,0.183947,unacc,cluster0
0.008547,0.724026,0.028504,0.090371,0.157718,0.833583,0.709857,0.998193,0.932263,0.900271,0.994312,0.063497,0.031436,0.014589,0.990776,unacc,cluster0
0.008547,0.98502,0.028502,0.09037,0.157717,0.833573,0.709824,0.998193,0.932261,0.900274,0.994311,0.063498,0.03144,0.014589,0.022983,unacc,cluster0
0.008548,0.009384,0.028503,0.090371,0.157727,0.833602,0.709855,0.998193,0.932266,0.900281,0.994311,0.063504,0.031436,0.014588,0.183934,unacc,cluster0
0.008547,0.724005,0.028508,0.090369,0.157736,0.833575,0.990134,0.998192,0.932269,0.900277,0.994312,0.063493,0.031441,0.982148,0.990775,unacc,cluster0
0.008546,0.985019,0.028506,0.090368,0.157735,0.833565,0.990133,0.998193,0.932268,0.900279,0.994312,0.063493,0.031444,0.982148,0.022981,unacc,cluster0
0.008547,0.009383,0.028508,0.090369,0.157745,0.833595,0.990134,0.998192,0.932272,0.900286,0.994312,0.063499,0.031441,0.982146,0.183917,unacc,cluster0
0.008547,0.723996,0.028505,0.090368,0.157729,0.833588,0.012493,0.998193,0.932266,0.900278,0.994312,0.063495,0.031438,0.876484,0.990777,unacc,cluster0
0.008547,0.985018,0.028503,0.090367,0.157728,0.833578,0.012491,0.998193,0.932265,0.900281,0.994311,0.063495,0.031441,0.876485,0.022985,unacc,cluster0
0.008548,0.009383,0.028504,0.090368,0.157739,0.833607,0.012493,0.998193,0.932269,0.900288,0.994311,0.063502,0.031437,0.876474,0.183947,unacc,cluster0
0.985323,0.72405,0.9201,0.090373,0.157722,0.967951,0.709823,0.268515,0.932061,0.900272,0.994312,0.063491,0.03144,0.014587,0.990776,unacc,cluster0
0.985323,0.985022,0.920094,0.090372,0.157721,0.967949,0.70979,0.268519,0.93206,0.900274,0.994311,0.063491,0.031443,0.014587,0.022983,unacc,cluster0
0.985324,0.009385,0.920098,0.090373,0.157731,0.967955,0.709821,0.268516,0.932064,0.900281,0.994311,0.063498,0.031439,0.014586,0.183932,unacc,cluster0
0.985322,0.724029,0.920112,0.090371,0.15774,0.967949,0.990133,0.268497,0.932067,0.900277,0.994312,0.063486,0.031444,0.982145,0.990775,unacc,cluster0
0.985321,0.98502,0.920106,0.09037,0.157739,0.967947,0.990131,0.268501,0.932066,0.900279,0.994312,0.063486,0.031448,0.982145,0.02298,unacc,cluster0
0.985323,0.009384,0.92011,0.090371,0.157749,0.967954,0.990133,0.268497,0.93207,0.900287,0.994311,0.063493,0.031444,0.982144,0.183914,unacc,cluster0
0.985323,0.72402,0.920103,0.09037,0.157733,0.967952,0.012491,0.268518,0.932064,0.900279,0.994312,0.063488,0.031441,0.876468,0.990777,unacc,cluster0
0.985322,0.98502,0.920097,0.090369,0.157732,0.96795,0.012489,0.268521,0.932063,0.900281,0.994311,0.063489,0.031444,0.876468,0.022985,unacc,cluster0
0.985324,0.009384,0.920101,0.09037,0.157742,0.967956,0.012491,0.268518,0.932067,0.900288,0.994311,0.063495,0.031441,0.876458,0.183945,unacc,cluster0
0.675884,0.724025,0.920087,0.090381,0.157688,0.007841,0.709811,0.268535,0.932065,0.900271,0.994312,0.063492,0.03144,0.014587,0.990776,unacc,cluster0
0.67588,0.98502,0.920082,0.090379,0.157687,0.00784,0.709778,0.268538,0.932064,0.900273,0.994311,0.063492,0.031444,0.014587,0.022982,unacc,cluster0
0.675902,0.009384,0.920086,0.090381,0.157697,0.007842,0.709809,0.268535,0.932069,0.90028,0.994311,0.063499,0.03144,0.014586,0.183929,unacc,cluster0
0.675864,0.724004,0.920099,0.090379,0.157706,0.00784,0.990132,0.268516,0.932071,0.900276,0.994312,0.063487,0.031445,0.982145,0.990775,unacc,cluster0
0.67586,0.985019,0.920094,0.090377,0.157705,0.00784,0.990131,0.26852,0.93207,0.900278,0.994311,0.063488,0.031448,0.982146,0.02298,unacc,cluster0
0.675881,0.009383,0.920098,0.090379,0.157715,0.007841,0.990132,0.268516,0.932075,0.900286,0.994311,0.063494,0.031445,0.982144,0.183911,unacc,cluster0
