@relation 'CarEvaluation-weka.filters.unsupervised.attribute.ReplaceMissingValues_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute -0.661persons=2+0.575persons=more-0.304lug_boot=small+0.243lug_boot=med-0.215safety=med... numeric
@attribute '0.77 safety=med-0.438safety=low-0.332safety=high-0.218lug_boot=small+0.141persons=more...' numeric
@attribute -0.685lug_boot=small+0.492lug_boot=big+0.371persons=2-0.256persons=4+0.193lug_boot=med... numeric
@attribute 0.694lug_boot=med-0.543lug_boot=big+0.245safety=high-0.242persons=more-0.225safety=low... numeric
@attribute '0.692safety=high-0.637safety=low-0.252lug_boot=med+0.173lug_boot=big+0.09 persons=more...' numeric
@attribute '-0.752persons=4+0.485persons=more-0.29lug_boot=big+0.267persons=2+0.17 lug_boot=small...' numeric
@attribute 0.741buying=vhigh-0.669buying=high-0.047buying=med-0.025buying=low-0.004maint=high... numeric
@attribute '-0.785buying=med+0.479buying=high+0.38 buying=vhigh-0.074buying=low+0.043maint=vhigh...' numeric
@attribute 0.836maint=vhigh-0.448maint=high-0.29maint=med-0.099maint=low+0.044doors=2... numeric
@attribute 0.658maint=med-0.607maint=high-0.343doors=2+0.267doors=3-0.075maint=vhigh... numeric
@attribute -0.676doors=2+0.587doors=3-0.342maint=med+0.268maint=high+0.073doors=4... numeric
@attribute '0.574doors=3-0.54doors=5more-0.45doors=4+0.416doors=2+0.04 maint=med...' numeric
@attribute -0.734doors=4+0.674doors=5more+0.066doors=3+0.027maint=low-0.022maint=high... numeric
@attribute -0.852maint=low+0.334maint=med+0.326maint=high+0.191maint=vhigh+0.113buying=low... numeric
@attribute -0.855buying=low+0.356buying=med+0.265buying=high+0.233buying=vhigh-0.114maint=low... numeric
@attribute eval {unacc,acc,good,vgood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
-1.801501,-1.620722,-0.52403,-0.612299,-1.25285,0.950524,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-2.502479,0.942367,-0.989408,-0.175741,-0.017758,0.913347,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-1.837375,-1.396284,-0.478771,0.38479,1.565967,0.91635,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-0.640783,-0.932485,1.336502,1.177806,-1.957262,0.842806,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-1.341762,1.630605,0.871124,1.614364,-0.72217,0.805629,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-0.676657,-0.708046,1.381761,2.174896,0.861555,0.808632,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-1.027585,-0.923322,1.970856,-1.444284,-1.056133,-0.026272,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-1.728563,1.639767,1.505477,-1.007726,0.178959,-0.063449,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-1.063459,-0.698884,2.016114,-0.447195,1.762684,-0.060446,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
-0.216645,-1.461342,-1.853958,-0.467983,-1.301252,-1.209509,1.712043,0.93802,1.98171,-0.965044,-1.454132,0.873691,0.010082,0.312387,0.589978,unacc,cluster3
